Id,dateTime,hour,day,month,weekday,source,destination,rideshare,rideCategory,price,distance,surgeMultiplier,weather,temperature,precipProbability,humidity,windSpeed,windGust,ozone
9f18e,2020-10-26 11:33:00,11,26,10,Mon,Boston University,Back Bay,Lyft,shared,3.6,1.836,1,cloudy,40.75,0,0.67,9.56,14.37,352.9
ad740,2020-10-16 11:45:00,11,16,10,Fri,Haymarket Square,Beacon Hill,Lyft,shared,3.6,1.668,1,partly-cloudy-night,26.11,0,0.49,14.93,24.96,367.5
ade01,2020-10-26 21:20:00,21,26,10,Mon,South Station,Financial District,Lyft,Lyft,3.6,0.78,1,cloudy,42.75,0,0.58,9.22,11.58,353.1
0f260,2020-10-25 06:06:00,6,25,10,Sun,Fenway,Back Bay,Lyft,Shared,3.6,1.764,1,rain,44.43,1,0.91,11.55,12.65,284.8
1d26a,2020-10-27 02:29:00,2,27,10,Tue,North End,North Station,Lyft,Shared,3.6,1.176,1,partly-cloudy-night,39.32,0,0.69,8.21,12.41,346.8
161ea,2020-10-15 14:50:00,14,15,10,Thu,Haymarket Square,Back Bay,Uber,UberPool,3.6,2.928,1,cloudy,37.85,0.09,0.86,6.72,8.71,323.9
701fb,2020-10-01 06:28:00,6,1,10,Thu,Back Bay,Northeastern University,Lyft,Lyft XL,4.32,1.296,1,fog,46.98,0,0.94,1.18,2.07,288.8
5edab,2020-10-27 18:03:00,18,27,10,Tue,Haymarket Square,West End,Lyft,Lux Black,4.32,0.852,1,partly-cloudy-day,45.05,0,0.5,12.48,23.65,311.4
12da0,2020-10-25 13:00:00,13,25,10,Sun,Back Bay,Fenway,Lyft,Shared,4.32,1.68,1,rain,46.34,0.61,0.92,5.16,5.21,320.7
dd954,2020-10-01 06:37:00,6,1,10,Thu,North End,North Station,Lyft,Lux Black XL,4.32,1.224,1,cloudy,35.99,0,0.76,3,3.05,285.2
0c88d,2020-10-28 23:23:00,23,28,10,Wed,Haymarket Square,West End,Lyft,Lux,4.32,0.768,1,cloudy,40.02,0,0.64,3.68,3.73,283.5
